Year,Global,NH,SH,WNP,ENP,NA,SI,SP,NI
1980,72,49,23,23,15,11,14,9,0
1981,71,54,17,28,15,11,12,5,0
1982,72,53,19,25,23,5,14,5,0
1983,70,48,22,22,22,4,8,14,0
1984,88,60,28,27,21,12,18,10,0
1985,88,60,28,25,24,11,16,12,0
1986,78,49,29,26,17,6,19,10,0
1987,69,49,20,22,21,6,7,13,0
1988,67,50,17,25,14,11,11,6,0
1989,86,59,27,30,18,11,16,11,0
1990,88,65,23,30,21,14,16,7,0
1991,67,50,17,29,14,7,12,5,0
1992,88,64,24,29,29,6,12,12,0
1993,75,52,23,29,15,8,11,12,0
1994,89,62,27,34,21,7,21,6,0
1995,73,54,19,25,10,19,14,5,0
1996,77,52,25,31,8,13,17,8,0
1997,86,55,31,29,19,7,15,16,0
1998,72,43,29,16,13,14,10,19,0
1999,65,42,23,20,10,12,14,9,0
2000,81,56,25,23,19,14,16,9,0
2001,72,56,16,26,15,15,9,7,0
2002,70,50,20,22,16,12,14,6,0
2003,81,53,28,20,17,16,18,10,0
2004,75,54,21,28,12,14,15,6,0
2005,90,67,23,23,15,27,15,8,2
2006,71,52,19,22,19,9,11,8,2
2007,73,51,22,23,11,14,14,8,3
2008,82,58,24,21,17,16,19,5,4
2009,81,55,26,22,20,9,16,10,4
2010,69,46,23,14,9,18,13,10,5
2011,70,52,18,21,11,18,9,9,2
2012,80,63,17,25,17,19,14,3,2
2013,89,66,23,28,20,13,15,8,5
2014,77,54,23,21,22,8,13,10,3
2015,88,65,23,25,26,11,14,9,3
2016,81,65,16,25,21,15,8,8,4
2017,81,65,16,27,18,17,10,6,3
2018,94,73,21,29,23,15,13,8,6
2019,94,68,26,27,19,16,17,9,6
2020,97,73,24,23,16,29,14,10,5
